baseStoryId,baseStoryTitle,contentWorld,contentLabel,sourceSensitivityTier,primaryValue,supportingValue,carryingWordSeed,ageBandCoverage,plannedExperienceCount,sourceSummary,parentSourceNote,authenticityRisk,ritualPotential,parentMirrorPotential,bedtimePotential,releasePhase,releasePriority,reviewStatus,notes
"BSI-0121","ramayana story seed 21","ramayana","canonical_story","tier_1_canonical_sacred","kindness","humility","kindness","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","high","medium","medium","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0122","ramayana story seed 22","ramayana","traditional_retelling","tier_2_traditional_retelling","courage","compassion","courage","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0123","ramayana story seed 23","ramayana","traditional_retelling","tier_2_traditional_retelling","truth","discipline","truth","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0124","ramayana story seed 24","ramayana","traditional_retelling","tier_2_traditional_retelling","patience","service","patience","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","high","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0125","ramayana story seed 25","ramayana","traditional_retelling","tier_2_traditional_retelling","gratitude","wisdom","gratitude","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0126","ramayana story seed 26","ramayana","traditional_retelling","tier_2_traditional_retelling","humility","humility","humility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0127","ramayana story seed 27","ramayana","traditional_retelling","tier_2_traditional_retelling","devotion","compassion","devotion","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0128","ramayana story seed 28","ramayana","canonical_story","tier_1_canonical_sacred","friendship","discipline","friendship","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","high","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0129","ramayana story seed 29","ramayana","traditional_retelling","tier_2_traditional_retelling","generosity","service","generosity","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0130","ramayana story seed 30","ramayana","traditional_retelling","tier_2_traditional_retelling","focus","wisdom","focus","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","high","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0131","ramayana story seed 31","ramayana","traditional_retelling","tier_2_traditional_retelling","forgiveness","humility","forgiveness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0132","ramayana story seed 32","ramayana","traditional_retelling","tier_2_traditional_retelling","discipline","compassion","discipline","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0133","ramayana story seed 33","ramayana","traditional_retelling","tier_2_traditional_retelling","compassion","discipline","compassion","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0134","ramayana story seed 34","ramayana","traditional_retelling","tier_2_traditional_retelling","respect","service","respect","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0135","ramayana story seed 35","ramayana","canonical_story","tier_1_canonical_sacred","curiosity","wisdom","curiosity","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","medium","high","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0136","ramayana story seed 36","ramayana","traditional_retelling","tier_2_traditional_retelling","responsibility","humility","responsibility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","high","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0137","ramayana story seed 37","ramayana","traditional_retelling","tier_2_traditional_retelling","calm","compassion","calm","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0138","ramayana story seed 38","ramayana","traditional_retelling","tier_2_traditional_retelling","self-control","discipline","self-control","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0139","ramayana story seed 39","ramayana","traditional_retelling","tier_2_traditional_retelling","wisdom","service","wisdom","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0140","ramayana story seed 40","ramayana","traditional_retelling","tier_2_traditional_retelling","service","wisdom","service","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","high","private_alpha","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0141","mahabharata story seed 1","mahabharata","traditional_retelling","tier_2_traditional_retelling","kindness","humility","kindness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0142","mahabharata story seed 2","mahabharata","traditional_retelling","tier_2_traditional_retelling","courage","compassion","courage","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0143","mahabharata story seed 3","mahabharata","traditional_retelling","tier_2_traditional_retelling","truth","discipline","truth","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0144","mahabharata story seed 4","mahabharata","traditional_retelling","tier_2_traditional_retelling","patience","service","patience","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0145","mahabharata story seed 5","mahabharata","traditional_retelling","tier_2_traditional_retelling","gratitude","wisdom","gratitude","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0146","mahabharata story seed 6","mahabharata","traditional_retelling","tier_2_traditional_retelling","humility","humility","humility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0147","mahabharata story seed 7","mahabharata","canonical_story","tier_1_canonical_sacred","devotion","compassion","devotion","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","medium","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0148","mahabharata story seed 8","mahabharata","traditional_retelling","tier_2_traditional_retelling","friendship","discipline","friendship","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0149","mahabharata story seed 9","mahabharata","traditional_retelling","tier_2_traditional_retelling","generosity","service","generosity","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0150","mahabharata story seed 10","mahabharata","traditional_retelling","tier_2_traditional_retelling","focus","wisdom","focus","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0151","mahabharata story seed 11","mahabharata","traditional_retelling","tier_2_traditional_retelling","forgiveness","humility","forgiveness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0152","mahabharata story seed 12","mahabharata","traditional_retelling","tier_2_traditional_retelling","discipline","compassion","discipline","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","high","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0153","mahabharata story seed 13","mahabharata","traditional_retelling","tier_2_traditional_retelling","compassion","discipline","compassion","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0154","mahabharata story seed 14","mahabharata","canonical_story","tier_1_canonical_sacred","respect","service","respect","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0155","mahabharata story seed 15","mahabharata","traditional_retelling","tier_2_traditional_retelling","curiosity","wisdom","curiosity","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","high","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0156","mahabharata story seed 16","mahabharata","traditional_retelling","tier_2_traditional_retelling","responsibility","humility","responsibility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0157","mahabharata story seed 17","mahabharata","traditional_retelling","tier_2_traditional_retelling","calm","compassion","calm","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0158","mahabharata story seed 18","mahabharata","traditional_retelling","tier_2_traditional_retelling","self-control","discipline","self-control","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0159","mahabharata story seed 19","mahabharata","traditional_retelling","tier_2_traditional_retelling","wisdom","service","wisdom","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0160","mahabharata story seed 20","mahabharata","traditional_retelling","tier_2_traditional_retelling","service","wisdom","service","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","high","private_alpha","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0161","mahabharata story seed 21","mahabharata","canonical_story","tier_1_canonical_sacred","kindness","humility","kindness","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","high","medium","medium","public_beta","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0162","mahabharata story seed 22","mahabharata","traditional_retelling","tier_2_traditional_retelling","courage","compassion","courage","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0163","mahabharata story seed 23","mahabharata","traditional_retelling","tier_2_traditional_retelling","truth","discipline","truth","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0164","mahabharata story seed 24","mahabharata","traditional_retelling","tier_2_traditional_retelling","patience","service","patience","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","high","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0165","mahabharata story seed 25","mahabharata","traditional_retelling","tier_2_traditional_retelling","gratitude","wisdom","gratitude","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0166","mahabharata story seed 26","mahabharata","traditional_retelling","tier_2_traditional_retelling","humility","humility","humility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0167","mahabharata story seed 27","mahabharata","traditional_retelling","tier_2_traditional_retelling","devotion","compassion","devotion","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0168","mahabharata story seed 28","mahabharata","canonical_story","tier_1_canonical_sacred","friendship","discipline","friendship","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","high","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0169","mahabharata story seed 29","mahabharata","traditional_retelling","tier_2_traditional_retelling","generosity","service","generosity","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0170","mahabharata story seed 30","mahabharata","traditional_retelling","tier_2_traditional_retelling","focus","wisdom","focus","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","high","public_beta","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0171","mahabharata story seed 31","mahabharata","traditional_retelling","tier_2_traditional_retelling","forgiveness","humility","forgiveness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0172","mahabharata story seed 32","mahabharata","traditional_retelling","tier_2_traditional_retelling","discipline","compassion","discipline","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0173","mahabharata story seed 33","mahabharata","traditional_retelling","tier_2_traditional_retelling","compassion","discipline","compassion","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0174","mahabharata story seed 34","mahabharata","traditional_retelling","tier_2_traditional_retelling","respect","service","respect","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0175","mahabharata story seed 35","mahabharata","canonical_story","tier_1_canonical_sacred","curiosity","wisdom","curiosity","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","medium","high","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0176","mahabharata story seed 36","mahabharata","traditional_retelling","tier_2_traditional_retelling","responsibility","humility","responsibility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","high","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0177","mahabharata story seed 37","mahabharata","traditional_retelling","tier_2_traditional_retelling","calm","compassion","calm","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0178","mahabharata story seed 38","mahabharata","traditional_retelling","tier_2_traditional_retelling","self-control","discipline","self-control","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0179","mahabharata story seed 39","mahabharata","traditional_retelling","tier_2_traditional_retelling","wisdom","service","wisdom","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0180","mahabharata story seed 40","mahabharata","traditional_retelling","tier_2_traditional_retelling","service","wisdom","service","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","high","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0181","shiva parvati story seed 1","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","kindness","humility","kindness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0182","shiva parvati story seed 2","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","courage","compassion","courage","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0183","shiva parvati story seed 3","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","truth","discipline","truth","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0184","shiva parvati story seed 4","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","patience","service","patience","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0185","shiva parvati story seed 5","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","gratitude","wisdom","gratitude","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0186","shiva parvati story seed 6","shiva_parvati","traditional_retelling","tier_2_traditional_retelling","humility","humility","humility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
